Season,SRS,SOS,Team_Id
2004,9.12,0.08,1102
2006,10.2,2.49,1102
2009,3.37,-2.01,1103
2011,2.15,-1.02,1103
2013,8.11,0.18,1103
2003,13.36,9.4,1104
2004,14.29,10.2,1104
2005,16.74,6.81,1104
2006,10.79,8.08,1104
2012,13.76,7.18,1104
2005,-11.96,-12.86,1105
2004,-11.1,-10.78,1106
2009,-6.13,-11.2,1106
2011,-13.37,-10.31,1106
2004,11.76,5.63,1412
2005,10.42,4.78,1412
2006,9.64,1.57,1412
2011,8.55,2.78,1412
2015,1.94,1.62,1412
2006,-0.44,-4.25,1107
2007,-1.6,-4.75,1107
2013,-0.87,-4.53,1107
2014,-3.31,-5.22,1107
2015,-0.34,-5.18,1107
2008,-1.87,-4.0,1110
2009,-0.05,-5.49,1110
2014,0.69,-3.25,1110
2003,23.42,8.95,1112
2004,15.3,6.63,1112
2005,18.0,8.03,1112
2006,15.12,10.09,1112
2007,16.24,10.76,1112
2008,14.55,10.22,1112
2009,11.88,8.8,1112
2011,16.54,7.99,1112
2013,17.3,7.47,1112
2014,23.36,9.04,1112
2015,24.33,7.41,1112
2016,18.79,7.23,1112
2017,18.33,7.5,1112
2003,15.01,9.27,1113
2009,16.7,7.82,1113
2014,13.32,7.41,1113
2006,15.01,6.17,1116
2007,13.77,8.75,1116
2008,12.48,6.73,1116
2015,14.07,6.79,1116
2017,13.87,8.08,1116
2011,-4.32,-2.97,1114
2016,7.12,-1.76,1114
2010,-8.29,-7.68,1115
2003,12.68,8.34,1120
2003,-0.84,-1.98,1122
2008,-2.21,-5.24,1122
2016,-6.04,-2.98,1122
2008,11.46,5.75,1124
2010,17.97,8.03,1124
2012,16.54,8.03,1124
2014,15.8,10.11,1124
2015,17.85,9.33,1124
2016,16.13,9.76,1124
2017,20.59,12.01,1124
2006,-3.53,-6.72,1125
2007,-0.39,-4.71,1125
2008,-0.12,-3.44,1125
2012,11.81,-1.22,1125
2011,13.07,-4.42,1125
2013,10.37,-0.96,1125
2015,0.35,-2.77,1125
2009,-3.27,-5.62,1127
2008,1.6,-2.07,1129
2013,9.44,5.27,1129
2015,10.01,1.38,1129
2004,11.99,7.17,1130
2005,14.38,6.41,1130
2006,13.79,6.1,1130
2007,13.76,9.21,1130
2009,10.36,7.23,1130
2011,-2.48,-3.85,1131
2006,11.78,5.38,1133
2003,13.63,5.29,1140
2004,12.7,6.31,1140
2007,11.38,3.95,1140
2008,11.82,1.33,1140
2009,15.12,4.15,1140
2010,18.82,3.0,1140
2012,11.25,1.55,1140
2011,18.65,5.76,1140
2014,11.63,5.72,1140
2015,13.53,5.02,1140
2005,2.12,-2.19,1137
2006,7.29,-2.29,1137
2011,2.39,-3.87,1137
2013,6.95,-1.96,1137
2017,5.61,-3.19,1137
2015,7.93,1.6,1138
2016,1.34,0.9,1138
2003,9.11,2.23,1139
2007,14.34,3.94,1139
2008,13.0,2.64,1139
2009,10.07,2.07,1139
2010,14.37,5.08,1139
2011,11.53,5.02,1139
2013,10.99,6.08,1139
2015,16.64,8.62,1139
2016,16.46,7.55,1139
2017,18.29,10.39,1139
2014,-1.34,1.69,1142
2016,2.58,-5.15,1167
2008,5.64,-3.06,1168
2009,2.65,-0.14,1169
2007,-3.63,-6.48,1148
2004,1.86,-5.87,1416
2005,-4.91,-7.78,1416
2003,6.85,1.79,1141
2004,12.24,4.7,1150
2005,9.63,3.97,1150
2005,-1.37,-3.59,1151
2009,-6.25,-3.13,1151
2016,3.24,-3.46,1151
2003,12.9,7.45,1153
2004,18.75,6.28,1153
2005,17.64,6.74,1153
2012,12.93,6.28,1153
2011,15.41,6.1,1153
2013,14.46,6.93,1153
2014,15.26,5.28,1153
2015,10.72,4.4,1153
2016,15.19,5.25,1153
2017,18.67,5.03,1153
2008,18.05,9.08,1155
2009,15.56,6.59,1155
2010,15.71,7.9,1155
2011,13.76,6.58,1155
2009,6.97,2.12,1156
2014,-5.21,-6.31,1157
2015,-1.02,-6.18,1157
2003,12.82,8.01,1160
2012,7.91,5.73,1160
2013,11.95,7.95,1160
2014,10.8,8.8,1160
2016,12.04,7.64,1160
2003,5.38,4.41,1161
2012,6.58,5.23,1161
2013,13.65,5.89,1161
2003,15.84,7.63,1163
2004,22.64,7.77,1163
2005,18.82,7.62,1163
2006,21.22,6.57,1163
2008,15.54,6.76,1163
2009,22.17,8.57,1163
2012,12.27,8.07,1163
2011,17.95,10.44,1163
2014,17.23,8.63,1163
2016,15.89,6.28,1163
2008,-14.51,-6.2,1164
2008,0.76,-4.74,1165
2009,2.71,-4.01,1165
2010,8.76,-0.91,1165
2003,15.33,1.03,1166
2005,10.14,3.84,1166
2007,12.57,6.24,1166
2012,12.92,3.41,1166
2013,16.44,5.16,1166
2014,18.03,7.17,1166
2017,18.11,9.17,1166
2006,1.89,-3.04,1172
2007,8.31,-2.26,1172
2008,13.93,1.66,1172
2012,7.26,-1.68,1172
2013,7.27,-3.45,1172
2015,11.97,3.19,1172
2003,11.0,5.17,1173
2004,7.11,3.57,1173
2009,7.16,1.76,1173
2014,10.55,5.34,1173
2015,10.98,4.06,1173
2016,11.34,4.76,1173
2017,13.21,4.01,1173
2014,2.73,-1.1,1174
2005,-6.68,-6.89,1175
2004,9.06,6.38,1177
2012,2.4,-0.01,1178
2008,14.08,4.15,1179
2003,19.86,8.38,1181
2004,25.67,10.86,1181
2005,23.01,10.04,1181
2006,21.77,8.77,1181
2007,18.85,10.49,1181
2008,21.52,9.28,1181
2009,20.1,9.07,1181
2010,25.21,9.21,1181
2012,17.05,8.4,1181
2011,24.51,8.32,1181
2013,21.43,9.54,1181
2014,19.51,8.48,1181
2015,24.97,9.87,1181
2016,19.23,10.59,1181
2017,22.46,11.63,1181
2003,-0.9,-2.94,1190
2004,4.19,-3.15,1190
2009,3.21,-1.87,1190
2010,-0.83,-1.47,1190
2017,7.7,-2.49,1190
2005,-2.68,-5.18,1184
2007,-4.19,-5.28,1184
2014,0.6,-4.34,1184
2004,0.83,-0.34,1186
2015,0.79,-3.84,1186
2005,-4.13,-6.91,1192
2016,-10.9,-8.31,1192
2003,18.54,7.76,1196
2004,16.29,9.19,1196
2005,20.18,7.12,1196
2006,20.21,5.49,1196
2007,23.82,7.34,1196
2010,11.89,7.16,1196
2012,18.25,7.33,1196
2011,16.27,7.57,1196
2013,23.86,6.83,1196
2014,20.69,8.54,1196
2017,22.2,10.49,1196
2004,-9.85,-7.94,1197
2007,-9.73,-7.49,1197
2013,2.76,-2.07,1195
2016,-0.79,-3.82,1195
2017,2.16,-3.91,1195
2009,11.37,7.91,1199
2010,14.64,6.79,1199
2012,14.53,7.62,1199
2011,13.48,6.45,1199
2017,20.73,9.55,1199
2016,5.27,2.24,1201
2006,12.11,2.77,1206
2008,6.07,-0.75,1206
2011,11.66,1.37,1206
2005,10.62,1.05,1203
2006,9.63,-0.33,1203
2007,5.61,0.64,1203
2014,10.6,4.42,1203
2006,13.98,6.92,1207
2007,19.62,9.48,1207
2008,18.73,7.23,1207
2010,17.03,9.56,1207
2012,16.81,7.69,1207
2011,14.61,10.39,1207
2013,15.84,7.59,1207
2015,15.48,9.81,1207
2008,7.24,7.03,1208
2011,10.43,6.13,1208
2015,12.42,8.6,1208
2015,5.47,-2.03,1209
2004,20.66,11.21,1210
2005,17.21,9.78,1210
2007,17.17,9.36,1210
2010,14.11,9.02,1210
2003,12.26,3.8,1211
2004,18.94,3.32,1211
2005,13.3,4.37,1211
2006,12.32,5.02,1211
2007,12.15,3.77,1211
2008,14.81,2.15,1211
2009,17.95,3.55,1211
2010,12.11,3.83,1211
2012,13.86,3.25,1211
2011,13.86,4.01,1211
2013,20.47,4.18,1211
2014,15.56,5.36,1211
2015,21.12,5.12,1211
2016,16.92,4.23,1211
2017,25.77,2.34,1211
2016,1.16,-0.67,1453
2006,-10.17,-12.56,1214
2011,-5.2,-8.77,1214
2015,-8.25,-7.08,1214
2016,-8.74,-8.45,1214
2012,7.84,-1.56,1217
2013,3.95,0.16,1217
2014,10.79,-0.47,1217
2015,4.47,-0.25,1217
2016,9.03,-1.04,1218
2003,5.26,-5.38,1221
2007,3.32,-3.06,1221
2016,-11.2,-6.11,1221
2010,6.74,3.48,1222
2003,19.82,6.76,1228
2004,16.93,7.08,1228
2005,24.1,8.47,1228
2006,17.2,6.29,1228
2007,14.18,7.09,1228
2009,14.38,6.73,1228
2011,16.72,11.11,1228
2013,13.23,10.08,1228
2004,6.0,-0.47,1227
2003,12.63,9.81,1231
2006,12.1,7.36,1231
2007,16.78,8.35,1231
2008,15.78,6.08,1231
2012,18.63,7.8,1231
2013,24.9,8.38,1231
2015,12.94,7.2,1231
2016,19.59,6.9,1231
2011,3.41,2.9,1232
2006,6.86,-0.78,1233
2012,8.36,-1.82,1233
2013,4.04,-0.02,1233
2016,3.59,-1.78,1233
2017,1.08,-3.04,1233
2005,14.97,9.34,1234
2006,14.18,6.8,1234
2014,18.58,7.43,1234
2015,15.83,8.39,1234
2016,17.01,8.71,1234
2005,11.37,8.4,1235
2012,13.32,7.32,1235
2013,14.5,6.13,1235
2014,18.52,9.88,1235
2015,17.94,9.15,1235
2016,16.93,10.16,1235
2017,20.74,11.86,1235
2003,-2.43,-1.8,1237
2007,-12.28,-9.94,1238
2017,-3.02,-3.9,1240
2013,-1.73,-2.28,1241
2003,25.0,10.53,1242
2004,17.1,9.44,1242
2005,20.68,10.85,1242
2006,20.02,7.6,1242
2007,22.62,6.86,1242
2008,26.9,8.2,1242
2009,18.02,7.9,1242
2010,24.68,8.25,1242
2012,21.72,9.93,1242
2011,24.1,7.62,1242
2013,20.79,7.54,1242
2014,20.25,11.4,1242
2015,18.47,12.13,1242
2016,23.87,11.22,1242
2017,22.74,12.39,1242
2008,15.79,7.79,1243
2010,19.88,10.28,1243
2012,14.47,7.53,1243
2011,14.59,8.41,1243
2013,13.53,6.53,1243
2014,12.14,8.47,1243
2017,15.31,10.46,1243
2006,6.27,0.0,1245
2008,7.47,0.41,1245
