Season,team1,team2
2017,1243,1448
2017,1291,1309
2017,1300,1413
2017,1344,1425
2017,1437,1291
2017,1458,1439
2017,1438,1423
2017,1196,1190
2017,1374,1344
2017,1124,1308
2017,1376,1266
2017,1181,1407
2017,1211,1355
2017,1321,1435
2017,1323,1343
2017,1452,1137
2017,1268,1462
2017,1199,1195
2017,1388,1433
2017,1112,1315
2017,1242,1300
2017,1274,1277
2017,1235,1305
2017,1345,1436
2017,1166,1348
2017,1332,1233
2017,1276,1329
2017,1257,1240
2017,1314,1411
2017,1116,1371
2017,1278,1292
2017,1139,1457
2017,1153,1243
2017,1417,1245
2017,1173,1455
2017,1246,1297
